Date,BIZD,BLOK,DBO,GLD,IWM,SHY,SPY,STIP,USRT,UUP,VGLT,VWO
2005-01-03,,,,43.02000045776367,51.691810607910156,62.23957443237305,88.14569091796875,,,,,
2005-01-04,,,,42.7400016784668,50.58370590209961,62.10197067260742,87.06859588623047,,,,,
2005-01-05,,,,42.66999816894531,49.57268142700195,62.117252349853516,86.46774291992188,,,,,
2005-01-06,,,,42.150001525878906,49.83554458618164,62.147865295410156,86.90739440917969,,,,,
2005-01-07,,,,41.84000015258789,49.28151321411133,62.155494689941406,86.7828140258789,,,,,
2005-01-10,,,,41.95000076293945,49.78296661376953,62.117252349853516,87.19315338134766,,,,,
2005-01-11,,,,42.209999084472656,49.176368713378906,62.13256072998047,86.59234619140625,,,,,
2005-01-12,,,,42.599998474121094,49.378562927246094,62.14018249511719,86.87806701660156,,,,,
2005-01-13,,,,42.599998474121094,49.22891616821289,62.21668243408203,86.1819839477539,,,,,
2005-01-14,,,,42.31999969482422,49.698036193847656,62.186092376708984,86.63626861572266,,,,,
2005-01-18,,,,42.31999969482422,50.28847122192383,62.16309356689453,87.53753662109375,,,,,
2005-01-19,,,,42.2599983215332,49.568641662597656,62.170753479003906,86.6216049194336,,,,,
2005-01-20,,,,42.25,49.273414611816406,62.224220275878906,86.0940933227539,,,,,
2005-01-21,,,,42.7400016784668,49.1601676940918,62.28539276123047,85.56651306152344,,,,,
2005-01-24,,,,42.77000045776367,48.78407287597656,62.247230529785156,85.3979721069336,,,,,
2005-01-25,,,,42.2400016784668,48.90943908691406,62.224220275878906,85.6397705078125,,,,,
2005-01-26,,,,42.689998626708984,49.56055450439453,62.20137405395508,85.89622497558594,,,,,
2005-01-27,,,,42.619998931884766,49.702083587646484,62.186092376708984,86.04277801513672,,,,,
2005-01-28,,,,42.689998626708984,49.661643981933594,62.21668243408203,86.04277801513672,,,,,
2005-01-31,,,,42.220001220703125,50.24399185180664,62.209007263183594,86.57769012451172,,,,,
2005-02-01,,,,42.099998474121094,50.527095794677734,62.225032806396484,87.127197265625,,,,,
2005-02-02,,,,42.15999984741211,50.91130447387695,62.202117919921875,87.39096069335938,,,,,
2005-02-03,,,,41.68000030517578,50.63223648071289,62.16381072998047,87.16384887695312,,,,,
2005-02-04,,,,41.470001220703125,51.271209716796875,62.225032806396484,88.09439849853516,,,,,
2005-02-07,,,,41.27000045776367,51.259071350097656,62.20978546142578,87.97714233398438,,,,,
2005-02-08,,,,41.2599983215332,51.38444519042969,62.18678283691406,88.0797119140625,,,,,
2005-02-09,,,,41.310001373291016,50.28847122192383,62.3016357421875,87.4202880859375,,,,,
2005-02-10,,,,41.75,50.37745666503906,62.255645751953125,87.73535919189453,,,,,
2005-02-11,,,,42.08000183105469,51.19841766357422,62.225032806396484,88.49006652832031,,,,,
2005-02-14,,,,42.54999923706055,51.153934478759766,62.194339752197266,88.42411041259766,,,,,
2005-02-15,,,,42.58000183105469,51.19841766357422,62.202117919921875,88.75382232666016,,,,,
2005-02-16,,,,42.52000045776367,51.35209655761719,62.17144012451172,88.8124771118164,,,,,
2005-02-17,,,,42.72999954223633,50.89913558959961,62.202117919921875,88.09439849853516,,,,,
2005-02-18,,,,42.75,50.773780822753906,62.117897033691406,88.21163177490234,,,,,
2005-02-22,,,,43.56999969482422,49.78296661376953,62.14078903198242,86.90007781982422,,,,,
2005-02-23,,,,43.41999816894531,50.07818603515625,62.13319396972656,87.5228500366211,,,,,
2005-02-24,,,,43.33000183105469,50.54730987548828,62.117897033691406,88.10173034667969,,,,,
2005-02-25,,,,43.5,51.38847351074219,62.08720779418945,88.97364044189453,,,,,
2005-02-28,,,,43.529998779296875,51.06898880004883,62.048912048339844,88.38746643066406,,,,,
2005-03-01,,,,43.220001220703125,51.46126937866211,62.035850524902344,88.82711791992188,,,,,
2005-03-02,,,,43.25,51.36825942993164,62.0742073059082,88.78315734863281,,,,,
2005-03-03,,,,42.970001220703125,51.41275405883789,62.09723663330078,88.81977844238281,,,,,
2005-03-04,,,,43.380001068115234,52.04362487792969,62.09723663330078,89.92618560791016,,,,,
2005-03-07,,,,43.470001220703125,51.914215087890625,62.0742073059082,89.97012329101562,,,,,
2005-03-08,,,,44.029998779296875,51.42082977294922,62.0742073059082,89.63308715820312,,,,,
2005-03-09,,,,44.02000045776367,50.83848190307617,62.05119705200195,88.63658905029297,,,,,
2005-03-10,,,,44.20000076293945,50.62010955810547,62.00518798828125,88.83441162109375,,,,,17.102081298828125
2005-03-11,,,,44.43000030517578,50.58370590209961,61.98981857299805,88.21163177490234,,,,,17.081621170043945
2005-03-14,,,,44.029998779296875,50.963844299316406,61.96678161621094,88.76114654541016,,,,,16.979333877563477
2005-03-15,,,,44.060001373291016,50.62010955810547,61.94377899169922,88.02845001220703,,,,,16.611108779907227
2005-03-16,,,,44.310001373291016,50.33701705932617,62.020545959472656,87.28105163574219,,,,,16.46790885925293
2005-03-17,,,,43.81999969482422,50.33701705932617,62.04353713989258,87.4569091796875,,,,,16.60087776184082
2005-03-18,,,,43.88999938964844,50.06605529785156,62.01287841796875,87.197265625,,,,,16.624746322631836
2005-03-21,,,,43.09000015258789,50.126712799072266,62.05119705200195,86.87358856201172,,,,,16.416767120361328
2005-03-22,,,,42.650001525878906,49.78296661376953,61.94377899169922,85.9908676147461,,,,,16.15423583984375
2005-03-23,,,,42.41999816894531,49.419002532958984,61.93608856201172,86.0644302368164,,,,,16.00762939453125
2005-03-24,,,,42.38999938964844,49.60099792480469,61.951473236083984,86.16741943359375,,,,,15.956486701965332
